Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link
Hippocrates: De superfoetatione,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἰσχυρῶν, ὅκως ἂν δοκέῃ καιρὸς εἶναι, τελευτᾷν δὲ ἐς μαλθακώτερα, ἕως ἂν δοκέῃ καλῶς ἔχειν καθάρσιος ἡ μήτρη καὶ ὁ στόμαχος καθεστηκέναι ὀρθῶς ἔχων καὶ ἐν τῷ ἐξαρκέοντι κείμενος. Ἢν δὲ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:29.1,https://github.comCos
"Hippocrates: Epistulae, Decretum, Orationes",Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ταῦτα, ἐπ’ ἄνδρα ὅλῃ πόλει ἰσοστάσιον, Ἀβδηρίτην μὲν, ἀλλὰ Δημόκριτον· νοσέειν γάρ φασιν αὐτὸν καὶ καθάρσιος μάλα χρῄζειν ἐντὸς μανίης ἐόντα. Μὴ χρησαίμεθα μέντοι τοῖσι φαρμάκοισιν, ὥσπερ καὶ πέπεισμαι· ἀλλ’ ὅμως ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:16.1,https://github.comCos
"Sozomenus, Salaminius Hermias: Historia Ecclesiastica",Unknown Ancient Site,0.0,0.0,ios | manike,μανική (Adjective / Frenzy) | ἰός (Noun / Dual Penetration),"... δὲ ταύτης τῆς συνόδου, οὐ μόνον Εὐσέβιος, ὃς μετὰ Παῦλον ἐκβεβλημενον, ἐκ Νικομηδείας μεταστὰς, τὸν Κωνσταντινουπόλεως εἶχε θρόνον: ἀλλὰ καὶ Ἀκάκιος ὁ Εὐσεβίου τοῦ Παμφίλου διάδοχος, καὶ Πατρόφιλος ὁ Σκυθοπόλεως, καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:5.10,https://github.com
Hippocrates: De diaeta,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἢν γὰρ ὁμοίως ἀμφοτέρωσε πεφύκωσι κατὰ τὸ στόμα, καὶ ἀναχάσκωσιν ὁμοίως, καὶ ξηραίνωνται ἀπὸ τῆς καθάρσιος, δύνανται τρέφειν, ἢν τὰ τοῦ ἀνδρὸς ξυλλαμβάνῃ, ὥστε εὐθὺς ἀποσχίζεσθαι· οὕτω γὰρ ἀνάγκη σκίδνασθαι ἐπ’ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:30.1,https://github.comCos
Catenae (Novum Testamentum): Catena In Lucam,Alexandria / Byzantium,41.0082,28.9784,mysterion | christing_active | christa,χριστά (Technical Class) | χρίω (Aorist Active) | μυστήριον (Ritual Rite),"... αὐτόν. ἦν μὲν γὰρ ὁ νόμος ἐν σκιᾷ καὶ τύπῳ, πλὴν οἱ τύποι διαμορφοῦσι τὴν ἀλήθειαν καὶ γράφουσιν αἱ σκιαὶ πολυτρόπως ἡμῖν τὸ Χριστοῦ μυστήριον. μόνος ἐσφάζετο κατὰ τὸν τοῦ Μωϋσέως ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:43.1,https://github.comByzantium
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... δὲ πνὶξ προσπεσεῖται ἰσχυρὴ, καὶ πρὸ τῶν ὀφθαλμῶν ζόφος ἔσται οἱ καὶ δῖνος, οἷα τῆς καθάρσιος ἄνω στελλομένης καὶ ἀνιούσης. Ἢν γὰρ τὸ σῶμα φλαύρως ἔχῃ, γυναικὶ τὰ καταμήνια ἐλάσσονα γίνεται, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:8.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... χρόνος προΐῃ, ὡς ἐπιτοπλέον καὶ ἡ νοῦσος ὀξέη γίνεται, καὶ αἱ μῆτραι δάκνονται ὑπὸ τῆς καθάρσιος τῆς χολώδεος χωρεούσης καὶ ἑλκοῦνται. Ἔτι δὲ καὶ ἐν τούτῳ ὑγιαίνει μελεδαινομένη, ἤν οἱ ἑρχθῇ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:8.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... καὶ τὸ σῶμα ἅπαν ἔνυγρον ὄν. Τουτέων ἕκαστα γινώσκειν ὧδε χρή. 11. Ὁκοίης δὲ χρῄζει καθάρσιος, γνώσῃ ὧδε· ὅταν τὰ ἐπιμήνια γίνηται, ῥάκος πτύξας ὅσον σπιθαμῆς, ἐπιτανύσαι ἐπὶ σποδιὴν λεπτήν· κἄπειτα ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:11.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ὑποπέλιδνα. Ταῦτ’ οὖν ἐσιδὼν, καὶ γνώμῃ σκεθρῇ βασανίσας, ὅλον τὸ σῶμα ἀθρέειν, ἤν τε πολλῆς καθάρσιος δοκέῃ δεῖσθαι, ἤν τε μὴ, ἀποσκεψάμενος ἐς τὴν χροιὴν καὶ τὴν ἡλικίην καὶ ῥώμην καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:11.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... καὶ τἄλλα ποιέειν κατὰ τὸν ὑφηγημένον λόγον. Ὅταν ἀνεστομωμέναι μᾶλλον τοῦ δέοντος αἱ ὑστέραι ἔωσι, καθάρσιος δέονται· μετὰ δὲ τὰς καθάρσιας, κλυσμῶν καὶ θυμιημάτων. Ἢν δὲ ἐγγύτερον ἔωσι τοῦ δέοντος, ἐμέτων ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:13.1,https://github.comCos
