Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... δίψα, ἔμετοι θαμέες, καὶ λουτρῶν εἴρξεις. Ὁκόταν ἀναστομωθέωσι μᾶλλον τοῦ δέοντος ὑστέραι καὶ μὴ μεμύκωσι, καθάρσιος δέονται καὶ κλυσμῶν καὶ θυμιημάτων. 168. Ἢν δὲ λειανθέωσιν αἱ μῆτραι, τὰ ἐπιμήνια πλείω γίνεται ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:167.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἤν τε κάτω μοῦνον· καὶ ἢν μὲν ἄνω διδῷς τὸ φάρμακον, μὴ πυριῇν πρότερον τῆς καθάρσιος, ἀλλ’ ὕστερον· πυριήσας δὲ μεταπῖσαι κάτω· ἢν δὲ μὴ δοκέῃ δεῖσθαι ἀνωτερικοῦ, προπυριήσας κάτω πῖσαι· ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:217.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἰσχυρῶν, ὅκως ἂν δοκέῃ καιρὸς εἶναι, τελευτᾷν δὲ ἐς μαλθακώτερα, ἕως ἂν δοκέῃ καλῶς ἔχειν καθάρσιος ἡ μήτρη καὶ ὁ στόμαχος καθεστάναι ὀρθῶς ἔχων ἐν τῷ ἐξαρκέοντι κείμενος. Ἢν δὲ ἀπὸ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:217.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... καὶ τὸ ὀθόνιον, ὀσφραίνεσθαι παρασχέτω τινὶ ἑωυτῆς τὴν κεφαλὴν, καὶ ὄζει ἢν καλῶς ἔχῃ τῆς καθάρσιος· εἰ δὲ μὴ, οὐκ ὄζει· ἄσιτος δὲ ταῦτα ποιείτω. Ἢν δὲ μὴ τεκνούσῃ προσθῇς, οὐδέ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:219.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... τὸ ἐκ τῆς χολῆς δι’ ἡμέρης, ἐπὶ ἡμέρας ἔξ. Ὅτε δὲ μέλλει ἤδη προσιέναι καλῶς καθάρσιος ἔχουσα, ὑοσκυάμου φύλλα καὶ ῥίζας ἀναζέσας ἐν ὕδατι, πυριήσθω τούτοισιν ὡς θερμοτάτοισιν ἐπὶ τρεῖς ἡμέρας ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:224.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... τοὺς κενεῶνας, καὶ ἀφαιρέειν ὅτι πλεῖστον· πρόσβαλλε δὲ ὅτι μάλιστα τεκμαιρόμενος κατὰ τὰς μήτρας. 234. Καθάρσιος· ὅταν μὴ γίνηται, ἤν τε ἐκ τόκου ἤν τε καὶ ἄλλως, δαῖδα ὡς πιοτάτην κόψαντα ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:234.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... καὶ σεσέλιος πλέον, ἢ κεδρίδα· ἢν δὲ πνιγμοὶ ἔωσι, κάστορος σμικρόν. Ἢν δὲ ἐκ τόκου καθάρσιος γινομένης μετρίης ἡ γαστὴρ μένῃ, ἢ καὶ φυσᾷ ἀποκεκλεισμένη καὶ ὀδυνώδης γίνηται, ἤν τε ξὺν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:234.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἕδρην ἄλειμμα ποιέειν, οἷον ἐκ χολῆς ταυρείης καὶ μέλιτος καὶ λίτρου. Ἢν δ’ ἐκ διαφθορῆς καθάρσιος ὀδυνώδης ᾖ, καὶ τῶν εὐωδέων διδομένων μηδὲν ὑπακούῃ, καὶ πυρετοῦ ἐόντος, γάλακτος αἰγείου δύο κοτύλας ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:234.1,https://github.comCos
Hippocrates: De morbis i-iii,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἀρτηρίας, καὶ παραχρῆμα ἐκπτύεσθαι. Τῷ μὲν οὖν νεωτέρῳ, ἅτε τῶν παθημάτων ἰσχυροτέρων ἐόντων, καὶ τῆς καθάρσιος οὐ γινομένης κατὰ λόγον τοῦ πτύσματος, οἵ τε πυρετοὶ ὀξύτεροι καὶ πυκνότεροι γίνονται, καὶ ὀδύναι ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:22.1,https://github.comCos
Hippocrates: De morbis i-iii,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἑκάστου. Ἢν δὲ τὸ σίαλον μὴ καθαίρηται εὖ καὶ τὸ πνεῦμα πυκνὸν ᾗ καὶ τῆς καθάρσιος μὴ ἐπικρατέῃ, προειπεῖν ὅτι ἀνέλπιστός ἐστι τοῦ ζῇν, ἢν μὴ δύνηται τῇ καθάρσει ὑπουργέειν. Ποιέειν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:15.1,https://github.comCos
